system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000067,157,4.909304995950293,0.3090278944619987,1.8366606404545698,1.9337574,165,5.418142266953535,0.26627188906697774,1.92040578971362,0.20183276,-0.21366803,255,0.0,1.0,0.0,0.2017566736808305,-0.012368257,169,6.41746225736941,0.34188352360001234,2.158022743738671,0,Unvegetated,0.5170111239259793,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
00000000000000000087,160,9.799799243503669,-0.15372233122445636,2.418294129348159,1.9295908,164,10.27902232480287,-0.1859559263032881,2.4915978271872987,0.20234218,-0.21837549,255,0.0,1.0,0.0,0.20226588642391108,-0.016773144,169,9.405547231350605,-0.15531179423764868,2.4052504559582966,0,Unvegetated,0.3967013122327264,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
000000000000000000dd,163,3.910702305653623,0.11814058580314918,1.5666266387928638,1.9310615,169,3.0755166453085834,0.1139268795441321,1.3291339458865294,0.189081,-0.2037148,255,0.0,1.0,0.0,0.18901049466041897,-0.015220497,174,4.965629924592191,0.09207356375545946,1.8443529944120625,0,Unvegetated,0.8780481142207005,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
0000000000000000019b,156,6.744874213473352,0.1906346862254202,2.0829475957225316,1.9329518,163,7.336478170540207,0.11314436198770339,2.1736469541963856,0.20728011,-0.22105737,255,0.0,1.0,0.0,0.20720162599633035,-0.014438154,167,8.907141972787858,0.11310821365283308,2.307960582513773,0,Unvegetated,0.9231164348190534,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
0000000000000000019c,155,10.98025027802246,0.19036542998683592,2.6395978404818323,1.9358499,163,8.884449533782764,0.1974926412843918,2.4557979371220253,0.20666473,-0.21918167,255,0.0,1.0,0.0,0.20658652577767284,-0.013112215,168,6.2620473555694804,0.14479813602574873,2.0354279321966446,0,Unvegetated,0.01428889798065569,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
000000000000000001ea,146,35.72215367594439,0.22956923547832156,5.33309997259167,1.9325619,152,36.473837578631425,0.196143756325255,5.393417283205226,0.23083805,-0.25223863,255,0.0,1.0,0.0,0.2307489361479085,-0.022727989,159,34.33538238000434,0.22562732435453947,5.1844011366754845,0,Unvegetated,0.6957121302259729,"{""type"":""Point"",""coordinates"":[-121.75527714052699,36.80480919829796]}"
00000000000000000071,185,6.651479010641515,0.026279933070907535,1.9766377358979579,1.9081935,202,4.747413621729919,0.05643319844398739,1.7351354320867536,0.106411256,-0.11662488,255,0.0,1.0,0.0,0.10637433249080543,-0.010342102,206,3.785038322453557,0.04522014890708348,1.540906587763168,0,Unvegetated,0.4616442249062226,"{""type"":""Point"",""coordinates"":[-121.75071102104828,36.807881518923786]}"
0000000000000000010f,190,0.8930617645839642,-0.38445558170237815,0.7763606748350411,1.9092698,206,1.7647046503975377,-0.2619129536240727,1.0063935310804157,0.09736,-0.1068867,255,0.0,1.0,0.0,0.0973264933053834,-0.009626897,210,1.7900094028493727,-0.31125994718859107,1.0316982835322506,0,Unvegetated,0.2122224113647715,"{""type"":""Point"",""coordinates"":[-121.75071102104828,36.807881518923786]}"
000000000000000000c2,175,2.471226354155936,-0.05513053249661079,1.054622769906287,1.9132552,191,2.7255510211392826,-0.005267672540648374,1.1826222753045987,0.13061546,-0.14253178,255,0.0,1.0,0.0,0.13056915085337786,-0.012142282,196,3.564045382769836,0.023892501538204464,1.4384648508444564,0,Unvegetated,0.13675478920310669,"{""type"":""Point"",""coordinates"":[-121.75070656194723,36.807881518923786]}"
00000000000000000123,187,4.747445550710615,0.14525039916279436,1.8189265100666394,1.9115218,200,5.764090804838302,0.1461054531330777,1.9690568683213363,0.1119782,-0.121719524,255,0.0,1.0,0.0,0.11193914869000335,-0.0098759765,204,4.286306801464333,0.17961262861804836,1.5721972626248426,0,Unvegetated,0.23520110971817676,"{""type"":""Point"",""coordinates"":[-121.75070656194723,36.807881518923786]}"
000000000000000001cb,183,13.691841908363706,0.3592740555175569,3.0982845955372444,1.9114699,196,13.350902313462262,0.31749784529267905,3.050524474781726,0.11868727,-0.1309866,255,0.0,1.0,0.0,0.11864562349912122,-0.012494154,201,14.648107219732603,0.4035410087731966,3.1964299939201615,0,Unvegetated,0.9030980406597182,"{""type"":""Point"",""coordinates"":[-121.75070656194723,36.807881518923786]}"
