system:index,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000034,7313,828937.4791666667,0.24532415735099733,820.7291666666667,-0.011213895,0.12269571,-0.28328514,13094,1594707.75,0.184099322,1047.7083333333333,0.12269486276352387,-0.16637218,10232,13391,574827.625,0.12199062639607727,628.1666666666666,1318527.5833333333,0.25362778216113335,986.375,0,unvegetated,0.6137790640506733,"{""type"":""Point"",""coordinates"":[-121.7576895141969,36.81182782335608]}"
00000000000000000035,7918,787018.125,0.1575278383717411,707.8749999999999,-0.015132409,0.060675055,-0.25284266,13277,2019419.2916666667,0.16948419645386834,1020.9583333333333,0.060674667148122884,-0.19516161,11758,13685,1196841.2708333333,0.2421044922024998,890.3958333333333,1856813.2083333333,0.10980316825981878,1001.8333333333333,0,unvegetated,0.41430477451724756,"{""type"":""Point"",""coordinates"":[-121.75771626880322,36.81183228245714]}"
00000000000000000036,7654,64194.81250000001,-0.171939482,223.8125,-0.017157875,0.07746131,-0.2620161,13089,290456.875,-0.123027765,452.4583333333333,0.0774608,-0.18837814,11207,13546,101510.6875,-0.326502295,276.1458333333333,275021.1875,0.028031188,425.0625,0,unvegetated,0.22471787420421296,"{""type"":""Point"",""coordinates"":[-121.75771626880322,36.81183228245714]}"
00000000000000000037,7695,78233.95833333333,0.21745202035045857,221.66666666666669,0.017263002693653107,0.10237039,-0.28365296,13789,160801.125,-0.063761196,307.9583333333333,0.10236973341498395,-0.18670401,11228,13321,66598.70833333333,0.29333583873844915,216,95626.08333333333,0.17824596917891536,246.125,0,unvegetated,0.039925764775180506,"{""type"":""Point"",""coordinates"":[-121.75771626880322,36.81183228245714]}"
00000000000000000038,7878,142287.3125,0.1824092150768874,298.0208333333333,0.024569266,0.083193794,-0.25464782,13261,218743.25000000003,0.15614436212359514,376.125,0.083193248,-0.17516491,11224,12625,26043.416666666668,0.060336647,129.08333333333331,84781.70833333333,0.16609745448444158,232.83333333333334,0,unvegetated,0.8331148995326434,"{""type"":""Point"",""coordinates"":[-121.75769843239902,36.811832282457125]}"
00000000000000000039,8917,95845.93749999999,-0.023118654,274.1875,0.054103047,0.09344037,-0.2580296,15119,307728.9166666666,0.14987889929723797,463.99999999999994,0.09343983,-0.1686556,12535,13567,160767.6041666667,-0.141568944,303.3958333333333,100112.95833333331,0.078511704,241.41666666666669,0,unvegetated,0.28860950673554364,"{""type"":""Point"",""coordinates"":[-121.7544834205395,36.81068183438534]}"
0000000000000000003a,8454,57526.52083333333,-0.031592466,195.3125,0.023852825164794922,0.07183655,-0.26776665,14637,303310.9375,-0.24186189,384.14583333333337,0.071836135,-0.19977282,12675,13955,284520.25,-0.155912338,456.3333333333333,183283.14583333334,-0.078039458,333.5208333333333,0,unvegetated,0.13940160827815984,"{""type"":""Point"",""coordinates"":[-121.75448787964052,36.81068183438534]}"
0000000000000000003b,7935,132700.70833333334,0.1962506715059431,300.54166666666663,0.050163209438323975,0.09412868,-0.27633378,13995,288773.06249999994,0.016214136585281057,426.27083333333326,0.094128096,-0.187071,11587,12658,586631.75,-0.104429539,603.9166666666666,338683.8541666667,-0.043319881,462.8541666666667,0,unvegetated,0.30451029472734426,"{""type"":""Point"",""coordinates"":[-121.75446112503424,36.8106862934864]}"
0000000000000000003c,7749,66120.91666666666,0.1314675089600536,217.33333333333331,0.041842934,0.11831242,-0.27218935,13545,284757.3541666666,-0.337142629,436.6875,0.11831163598655227,-0.15899718,10679,12457,171463.6666666667,-0.234548799,346,222734.45833333334,-0.202311319,393.4583333333333,0,unvegetated,0.46425503979376637,"{""type"":""Point"",""coordinates"":[-121.75446112503424,36.8106862934864]}"
0000000000000000003d,8198,43999.291666666664,0.20853045419216962,185.83333333333331,0.026587693,0.12697323,-0.3110056,15599,436336.79166666657,0.1380383246599382,510.70833333333326,0.12697249880432726,-0.19159846,12084,14791,620522.5416666666,0.2383668158627088,634.5416666666666,97685.22916666666,0.3497219704519343,257.3958333333333,0,unvegetated,0.33935115610163513,"{""type"":""Point"",""coordinates"":[-121.75448342053949,36.8106862934864]}"
0000000000000000003e,8287,70874.875,-0.153517524,209.95833333333331,0.045534592,0.10034419,-0.27412078,14546,67725.70833333333,-0.131197075,219.29166666666666,0.10034358126354997,-0.17869177,11893,13279,85415.3125,-0.36440258,240.81249999999997,138373.875,-0.064452382,300.16666666666663,0,unvegetated,0.657582081,"{""type"":""Point"",""coordinates"":[-121.75447896143844,36.81068183438534]}"
0000000000000000003f,8289,64716.8125,0.3120370508650159,209.39583333333331,0.030595699325203896,0.095794916,-0.2763227,14619,243347.8125,-0.014693916,389.31249999999994,0.095794343,-0.18543632,12063,13751,269795.9583333333,-0.237371475,435.0833333333333,77939.54166666666,0.2603705361513978,239.125,0,unvegetated,0.7576208732611937,"{""type"":""Point"",""coordinates"":[-121.7544745023374,36.81068183438534]}"
00000000000000000040,8188,41869.291666666664,-0.216610917,177.83333333333331,0.027485379949212074,0.099757455,-0.2638015,14056,97863.52083333331,-0.130456532,244.35416666666666,0.099756828,-0.16847771,11506,13304,118243.45833333331,-0.143744998,264.29166666666663,42696.375,-0.131037527,171.25,0,unvegetated,0.6067563998946895,"{""type"":""Point"",""coordinates"":[-121.7544745023374,36.81068183438534]}"
00000000000000000041,8197,60391.35416666667,-0.002816456,219.60416666666666,0.048691504,0.103547566,-0.29165226,14947,95092.6875,-0.113947605,270.1041666666667,0.10354695383688531,-0.19396234,12142,13559,178604.50000000003,-0.039341957,359.4583333333333,44481.25,-0.268644459,180.125,0,unvegetated,0.06898987,"{""type"":""Point"",""coordinates"":[-121.7544745023374,36.81068183438534]}"
