system:index,DEM,NDVI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,Red,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000000349,-31.478277,-0.707555,44,0.8651481510806749,0.042872043112911595,0.6972493613909829,-0.7071755792076158,255,0.422541564505172,0.22172443736143246,0.422541564505172,0,0.2304608959697264,"{""type"":""Point"",""coordinates"":[-121.76037389303106,36.81150230897918]}"
0000000000000000034a,-31.47965,-0.70481795,44,0.20232035038870347,0.11102107782762909,0.20232035038870347,-0.7044399262936386,254,0.5811067460960875,-0.25240163677317223,0.5811067460960875,0,0.5176073327064931,"{""type"":""Point"",""coordinates"":[-121.76037389303106,36.81150230897918]}"
0000000000000000034b,-31.467037,-0.67946273,49,1.591661812838085,0.18599034193343178,0.9066034803604754,-0.6791046817141129,255,0.4444111031526048,0.048375728696402734,0.392911551241757,0,0.5742223669442146,"{""type"":""Point"",""coordinates"":[-121.76037389303109,36.811506768080235]}"
0000000000000000034c,-31.541227,-0.7000807,22,1.1735664157162724,0.0028774681467733073,0.6380825018862659,-0.6993180283625795,125,3.6865042559220322,0.17066916116047778,1.490335720197689,0,0.3617117139395414,"{""type"":""Point"",""coordinates"":[-121.76007959236156,36.81196159638768]}"
0000000000000000034d,-31.547876,-0.70219433,22,3.360716811666966,-0.1250270498861192,1.4709428120973782,-0.7014461369348679,128,6.72081951148712,0.06509682530513804,2.070320028545956,0,0.16486907967989295,"{""type"":""Point"",""coordinates"":[-121.76007959236156,36.81196159638768]}"
0000000000000000034e,-31.539131,-0.6463968,29,3.029220138206499,0.14790612147005597,1.3161313636084264,-0.6457573597935936,133,8.872049586705849,0.18365028985216547,2.4319686172994026,0,0.6405299258846773,"{""type"":""Point"",""coordinates"":[-121.76007959236156,36.81196159638768]}"
0000000000000000034f,-31.541332,-0.7274675,21,10.782377781622172,0.30589111807455993,2.8131222404995317,-0.7267166832428814,134,5.069187050311306,0.30656922745804643,1.9158018728463067,0,0.7227743962899612,"{""type"":""Point"",""coordinates"":[-121.76007959236156,36.81196159638768]}"
00000000000000000350,-31.544765,-0.6423259,29,8.525560983590179,0.01737066013050008,2.4319199331903683,-0.6417017062010257,135,8.236863686840316,0.019921404191374587,2.3550194249474528,0,0.628204298150226,"{""type"":""Point"",""coordinates"":[-121.76007513326051,36.81196159638768]}"
00000000000000000351,-31.547699,-0.6360095,30,11.891176302793646,0.2410078149841551,3.0335821482064356,-0.6353821028523045,133,22.58744492017272,0.3173642428734641,4.218315961263986,0,0.9632514322691114,"{""type"":""Point"",""coordinates"":[-121.76007513326051,36.81196159638768]}"
00000000000000000352,-31.543045,-0.72480893,20,7.150441349683389,0.07261253004732908,2.327405048755634,-0.7240180969178377,126,3.796733468739575,-0.013363855617557655,1.3394795556989665,0,0.057986124923673166,"{""type"":""Point"",""coordinates"":[-121.76007959236156,36.81196605548874]}"
00000000000000000353,-31.54028,-0.72771174,18,27.081229117680742,0.0992423938246313,4.405115533212505,-0.7268489911136581,117,28.934191448865327,0.18332384491438322,4.5610662716493175,0,0.26457602811820013,"{""type"":""Point"",""coordinates"":[-121.76007067415944,36.81196159638768]}"
00000000000000000354,-31.541183,-0.7511106,16,34.066342883710256,0.31546690492224233,4.876154509749512,-0.7501639579840043,111,39.30509231575272,0.3352014455733644,5.363602407862641,0,0.5513231787415426,"{""type"":""Point"",""coordinates"":[-121.76007067415944,36.81196159638768]}"
00000000000000000355,-31.56819,-0.7615738,24,43.0050030483106,0.2903753698303571,5.918633827310035,-0.7609688982790527,178,151.76856190166743,0.2779991057576295,11.055390408030082,0,0.9415618599140765,"{""type"":""Point"",""coordinates"":[-121.75742642723476,36.81077101640641]}"
00000000000000000356,-31.56167,-0.698492,30,25.132634652067217,0.3371838639614786,4.288907923009418,-0.6979225075737249,167,29.88457488926524,0.42747316558548404,4.5785984188706355,0,0.8433018973464915,"{""type"":""Point"",""coordinates"":[-121.75742642723476,36.81077101640641]}"
00000000000000000357,-31.56033,-0.68190235,34,14.38738367143878,0.2729796629643284,3.17299658870939,-0.6813923236234742,180,7.256407025516767,0.2710651070304212,2.1547421231699913,0,0.6397245397073669,"{""type"":""Point"",""coordinates"":[-121.75742642723476,36.81077101640641]}"
