GrndTruth,RASTERVALU,Classified,Latitude,Longitude
0,0,0,4074070.181749999988824,611181.546357000013813
0,0,0,4074074.778580000158399,611214.473686999990605
2,2,2,4074078.043000000063330,611239.190003999974579
0,2,2,4074062.670249999966472,611265.405289000016637
0,0,0,4074070.681400000117719,611316.153683000011370
2,1,1,4074056.641069999895990,611071.655346999992616
0,0,0,4074045.415459999814630,611101.135051000048406
0,0,0,4074055.425239999778569,611136.344143999973312
0,0,0,4074046.564670000225306,611146.287297999951988
1,2,2,4074061.587660000193864,611175.417243000003509
0,0,0,4074056.957520000170916,611179.247939000022598
0,0,0,4074047.630599999800324,611188.774713000049815
0,0,0,4074056.940859999973327,611255.578720999998040
0,0,0,4074060.904800000134856,611280.594830999965779
0,0,0,4074050.528609999921173,611295.517890000017360
1,1,1,4074038.220420000143349,611063.077918999944814
0,2,2,4074028.193990000057966,611078.817082999972627
0,0,0,4074029.826200000010431,611086.045440000016242
0,0,0,4074036.571549999993294,611123.053293999982998
0,0,0,4074044.033079999964684,611170.320751999970526
0,0,0,4074037.937280000187457,611180.763562000007369
1,0,0,4074039.436249999795109,611189.724060000036843
0,0,0,4074029.093369999900460,611194.737274999963120
0,0,0,4074033.007340000011027,611243.720218000002205
0,0,0,4074043.316910000052303,611297.616445000050589
2,2,2,4074042.417530000209808,611295.451268999953754
1,1,1,4074025.679049999918789,611062.178537999978289
0,0,0,4074020.132869999855757,611098.653426000033505
0,2,2,4074024.596460000146180,611105.482058000052348
0,0,0,4074017.801140000112355,611126.267747999983840
0,0,0,4074020.982280000112951,611156.446970000048168
0,0,0,4074024.979530000127852,611202.998253999976441
0,0,0,4074026.878229999914765,611250.981885000015609
0,0,0,4074012.854549999814481,611266.820980999968015
1,1,1,4074004.493640000000596,611030.533657999942079
0,2,2,4074002.644909999798983,611034.381009000004269
2,2,2,4074004.410360000096262,611069.007169999997132
2,2,2,4074008.457570000085980,611107.947028000024147
0,0,0,4073999.597010000143200,611105.315505999955349
0,0,0,4074002.678220000118017,611145.954193999990821
0,0,0,4074008.657440000213683,611186.576226999983191
0,0,0,4073994.866930000018328,611215.706172000034712
0,0,0,4074005.542909999843687,611252.380922000040300
2,1,1,4073993.051510000135750,611038.344947000034153
0,0,0,4073983.191639999859035,611050.886312999995425
0,0,0,4073987.105609999969602,611074.619973000022583
