Classified,GrndTruth,Latitude,Longitude
1,1,4074024.144079999998212,611203.976123000029474
0,0,4074016.574490000028163,611238.614286000025459
0,0,4074023.457489999942482,611268.240386000019498
0,0,4073994.414989999961108,611046.250614000018686
2,1,4073998.980769999790937,611057.682236999971792
1,1,4073993.419439999852329,611055.759802000015043
0,0,4074001.572629999835044,611098.448162000044249
0,0,4074007.872039999812841,611146.783675999962725
0,0,4073994.723950000014156,611160.961635999963619
3,0,4073993.814230000134557,611173.457463999977335
1,1,4074005.142860000021756,611210.344189999974333
0,0,4073999.736010000109673,611221.604167000041343
0,0,4074005.915270000230521,611250.337707999977283
2,0,4074001.126350000035018,611259.812567000044510
0,0,4073980.408679999876767,611047.143172999960370
0,0,4073984.390860000159591,611074.589368000044487
1,1,4073984.305040000006557,611096.628714999998920
0,0,4073974.607040000148118,611120.315862999996170
2,0,4073981.593030000105500,611125.448077999986708
0,0,4073977.731000000145286,611148.036691999994218
0,0,4073975.705570000223815,611184.442808000021614
0,0,4073979.567609999794513,611213.983084999956191
0,0,4073982.622909999918193,611246.595824999967590
1,1,4073962.729139999952167,611018.546948999981396
0,0,4073967.260590000078082,611057.939706000033766
0,1,4073968.084489999804646,611091.530829000053927
0,0,4073966.247880000155419,611128.074262000038289
0,0,4073959.914140000008047,611170.402165999985300
1,1,4073958.129019999876618,611184.065186999971047
2,0,4073958.060370000079274,611183.721894999966025
0,0,4073957.390949999913573,611204.868681999971159
0,0,4073963.776180000044405,611241.154647000017576
0,0,4073955.846129999961704,611050.919385000015609
0,0,4073945.186919999774545,611053.717214999953285
2,0,4073942.560730000026524,611070.795992000028491
0,0,4073949.684040000196546,611091.221865999978036
0,0,4073952.258729999884963,611127.113043999997899
0,0,4073945.890660000033677,611144.878404999966733
0,0,4073950.336300000082701,611176.203800000017509
1,1,4073942.629389999900013,611179.035959000000730
0,0,4073951.383340000174940,611222.273586999974214
0,0,4073939.024819999933243,611018.770088999997824
2,0,4073932.330630000215024,611048.619329000008292
0,0,4073924.829700000118464,611044.568483000039123
0,0,4073931.729869999922812,611081.438043999951333
0,0,4073922.907269999850541,611093.384605000028387
0,0,4073922.941589999943972,611123.594301000004634
1,1,4073930.391030000057071,611167.913299000007100
0,0,4073923.696839999873191,611175.019442999968305
2,0,4073932.021670000161976,611186.742865000036545
0,0,4073928.296949999872595,611206.173192000016570
1,1,4073909.862170000094920,611077.730489999987185
0,0,4073921.173640000168234,611104.472936999984086
0,0,4073916.762339999899268,611124.332379000028595
