GrndTruth,Classified,RASTERVALU,Latitude,Longitude
0,0,0,4074622.635819999966770,610995.630533999996260
0,0,0,4074614.442379999905825,610998.586394999991171
1,1,1,4074614.416459999978542,611036.986650999984704
0,0,0,4074612.990379999857396,611025.603996000019833
0,0,0,4074628.003039999864995,611067.841684999992140
0,0,0,4074630.232900000177324,611074.790550000034273
0,0,0,4074637.129910000134259,611106.890157000045292
0,0,0,4074626.758469999767840,611110.520160999963991
0,0,0,4074618.798390000127256,611120.476742999977432
1,0,0,4074624.243400000035763,611153.224565000040457
1,0,0,4074626.680680000223219,611179.568023000028916
0,0,0,4074636.144619999919087,611196.499398999963887
0,0,0,4074624.736039999872446,611182.757240999955684
0,0,0,4074601.452159999869764,610546.910183000029065
0,0,0,4074590.847360000014305,610562.908128999988548
0,0,0,4074606.197089999914169,610574.887142000021413
0,0,0,4074593.621720000170171,610570.090350999962538
0,0,0,4074607.830589999910444,610620.391835000016727
1,1,1,4074605.782230000011623,610599.726740999962203
0,0,0,4074599.974229999817908,610605.768105000024661
0,0,0,4074590.225070000160486,610616.424758999957703
0,0,0,4074606.482299999799579,610632.007848000037484
0,0,0,4074595.618220000062138,610627.003628000034951
0,0,0,4074610.967949999962002,610669.085746000055224
0,0,0,4074601.659580000210553,610658.688377000042237
1,1,1,4074592.299360000062734,610662.811024999944493
0,0,0,4074589.732429999858141,610654.747229999979027
0,0,0,4074601.270659999921918,610692.058486000052653
0,0,0,4074610.397520000115037,610709.301005000015721
0,0,0,4074600.752080000005662,610720.528088000020944
0,0,0,4074591.443719999864697,610720.165088000008836
0,0,0,4074607.312020000070333,610785.868159999954514
1,1,1,4074605.185870000161231,610795.461741999955848
0,0,0,4074599.066720000002533,610806.870326000032946
0,0,0,4074604.433949999976903,610826.472348000039347
0,0,0,4074594.399579999968410,610813.482119000051171
0,0,0,4074611.045739999972284,610840.110791999963112
0,0,0,4074599.481579999905080,610853.775163999991491
0,0,0,4074590.121360000222921,610851.286017999984324
1,0,0,4074605.782230000011623,610877.655403999960981
0,0,0,4074603.863520000129938,610866.428320999955758
0,0,0,4074595.307080000173301,610884.578341000014916
0,0,0,4074610.501240000128746,610910.325440000044182
1,1,1,4074603.967230000067502,610895.390567000024021
0,0,0,4074591.858570000156760,610912.425657000043429
1,0,0,4074609.386309999972582,610938.743186000036076
0,0,0,4074599.274149999953806,610920.515379999997094
0,0,0,4074589.706499999854714,610924.949171000043862
0,0,0,4074605.600730000063777,610948.233053999952972
0,0,0,4074594.477359999902546,610941.724975000019185
1,1,1,4074592.558650000020862,610967.472075000056066
0,0,0,4074610.890170000027865,610988.889098000014201
0,0,0,4074598.988940000068396,610969.650077000027522
0,0,0,4074585.895000000018626,610976.780442000017501
0,0,0,4074604.485799999907613,611018.836631000041962
0,0,0,4074594.218080000020564,611017.617987000034191
0,0,0,4074586.750640000216663,611005.664902999997139
0,0,0,4074603.474590000230819,611029.752572000026703
0,0,0,4074594.269929999951273,611044.817089000018314
0,0,0,4074609.645589999854565,611060.452033999958076
0,0,0,4074598.470370000228286,611065.015467999968678
0,0,0,4074589.084210000000894,611071.679117999970913
0,0,0,4074595.825650000013411,611082.802488000015728
1,0,0,4074586.050569999963045,611079.276197999948636
0,0,0,4074592.066000000108033,611106.864228000049479
0,0,0,4074597.485080000013113,611150.242776000057347
0,0,0,4074589.421289999969304,611135.982045999960974
0,0,0,4074589.343499999959022,611169.922584000043571
0,0,0,4074580.631490000057966,610569.234706999966875
1,1,1,4074584.572639999911189,610608.620251000043936
0,0,0,4074584.235570000018924,610599.130383000010625
1,0,0,4074582.239060000050813,610837.751289000036195
1,1,1,4074572.308410000056028,610857.482954000006430
1,1,1,4074571.141619999893010,610845.400225999997929
0,0,0,4074580.916699999943376,610875.632973999949172
1,1,1,4074569.741479999851435,610876.436759999953210
0,0,0,4074567.278260000050068,610871.536255000042729
0,0,0,4074558.462540000211447,610880.377907000016421
0,0,0,4074575.082770000211895,610909.988369000027888
0,0,0,4074565.774399999994785,610892.927350000012666
0,0,0,4074581.150059999898076,610932.338821999961510
0,0,0,4074570.389690000098199,610930.134890999994241
1,1,1,4074563.881610000040382,610926.245601000031456
0,0,0,4074560.847970000002533,610915.796375000034459
0,0,0,4074576.093989999964833,610963.453142000013031
0,0,0,4074566.993050000164658,610960.860282000037841
0,0,0,4074584.002210000064224,610994.230390000040643
0,0,0,4074571.115689999889582,610984.455307999975048
1,0,0,4074560.536830000113696,610985.596166000002995
1,1,1,4074577.286700000055134,610999.156823999946937
1,1,1,4074573.164049999788404,610995.449034000048414
0,0,0,4074567.122690000105649,611010.098693000036292
0,0,0,4074578.868350000120699,611024.800209000008181
0,0,0,4074583.068779999855906,611135.982045999960974
0,0,0,4074552.395239999983460,610848.719087000004947
0,0,0,4074552.991599999833852,610863.783602999988943
0,0,0,4074543.372090000193566,610879.185192000004463
1,0,0,4074557.762469999957830,610904.880434000049718
0,0,0,4074549.439379999879748,610892.486564000020735
1,1,1,4074548.713380000088364,610889.245488999993540
0,0,0,4074539.742089999839664,610903.921075999969617
0,0,0,4074556.388249999843538,610924.663956000003964
0,0,0,4074547.779949999880046,610938.354257000028156
0,0,0,4074538.497520000208169,610940.765617000055499
0,0,0,4074552.810099999886006,610947.636696000001393
0,0,0,4074541.271879999898374,610947.792266999953426
1,1,1,4074536.889940000139177,610948.647910999949090
0,0,0,4074553.328670000191778,610969.935291999951005
0,0,0,4074546.639099999796599,610974.835796999977902
0,0,0,4074554.910319999791682,610997.782607999979518
0,0,0,4074529.163219999987632,610905.036006000009365
1,1,1,4074516.147059999871999,610891.086419000057504
0,0,0,4074514.280199999921024,610912.762728999950923
0,0,0,4074525.429500000085682,610922.900811000028625
0,0,0,4074513.346770000178367,610927.386458999942988
1,1,1,4074512.179990000091493,610935.631753999972716
1,0,0,4074530.200360000133514,610963.401285000029020
1,0,0,4074515.395130000077188,610954.818917999975383
0,0,0,4074505.594120000023395,610948.362697000033222
1,1,1,4074522.629209999926388,610982.769948999979533
0,0,0,4074516.458209999836981,610985.129451000015251
0,0,0,4074502.508619999978691,610924.197241000016220
0,0,0,4074500.330620000138879,610943.410334000014700
1,1,1,4074495.248610000126064,610950.799985000048764
